"BehaviorSpace results (NetLogo 3D 6.1.0)"
"CLL-update-fusionReversible-forSeedExperiment_test_deleting_some_parameters_as_theyre_probably_dependent.nlogo3d"
"NinaExploInAbsenceOfMonocytes"
"06/12/2020 20:10:23:955 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-72","72","-72","72"
"[run number]","gui-LateApoThreshold","[step]","getViability","getRemainingCellRatio"
"1","0","1","0","98.88"
"3","2","216","99.95700773860705","93.04"
"4","3","216","99.74248927038627","93.2"
"2","1","216","99.82817869415807","93.12"
"5","4","216","99.87146529562982","93.36"
"6","5","216","99.87129987129987","93.24"
"7","10","216","99.95717344753747","93.4"
"8","20","216","100","93.28"
"9","50","216","99.87212276214834","93.84"
"10","100","216","7.636603028308102","60.760000000000005"
"11","1000","216","49.03640256959315","74.72"
