"BehaviorSpace results (NetLogo 3D 6.1.0)"
"CLL-update-fusionReversible-forSeedExperiment_test_deleting_some_parameters_as_theyre_probably_dependent.nlogo3d"
"NinaExploInAbsenceOfMonocytes"
"06/12/2020 21:26:56:326 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-72","72","-72","72"
"[run number]","gui-LateApoThreshold","gui-apoptosisDuration","[step]","getViability","getRemainingCellRatio"
"3","0","24","1","0","98.88"
"2","0","12","1","0","98.88"
"4","0","36","1","0","98.88"
"1","0","4","1","0","98.88"
"5","0","48","1","0","98.88"
"7","1","12","216","99.82817869415807","93.12"
"6","1","4","216","99.82817869415807","93.12"
"9","1","36","216","99.82817869415807","93.12"
"8","1","24","216","99.82817869415807","93.12"
"10","1","48","216","99.82817869415807","93.12"
"11","2","4","216","99.95700773860705","93.04"
"12","2","12","216","99.95700773860705","93.04"
"13","2","24","216","99.95700773860705","93.04"
"14","2","36","216","99.95700773860705","93.04"
"15","2","48","216","99.95700773860705","93.04"
"16","3","4","216","99.74248927038627","93.2"
"17","3","12","216","99.74248927038627","93.2"
"19","3","36","216","99.74248927038627","93.2"
"18","3","24","216","99.74248927038627","93.2"
"20","3","48","216","99.74248927038627","93.2"
"21","4","4","216","99.87146529562982","93.36"
"22","4","12","216","99.87146529562982","93.36"
"23","4","24","216","99.87146529562982","93.36"
"24","4","36","216","99.87146529562982","93.36"
"25","4","48","216","99.87146529562982","93.36"
"26","5","4","216","99.87129987129987","93.24"
"27","5","12","216","99.87129987129987","93.24"
"28","5","24","216","99.87129987129987","93.24"
"29","5","36","216","99.87129987129987","93.24"
"30","5","48","216","99.87129987129987","93.24"
"31","10","4","216","99.95717344753747","93.4"
"32","10","12","216","99.95717344753747","93.4"
"34","10","36","216","99.95717344753747","93.4"
"35","10","48","216","99.95717344753747","93.4"
"36","20","4","216","100","93.28"
"33","10","24","216","99.95717344753747","93.4"
"37","20","12","216","100","93.28"
"38","20","24","216","100","93.28"
"39","20","36","216","100","93.28"
"40","20","48","216","100","93.28"
"41","50","4","216","99.87212276214834","93.84"
"42","50","12","216","99.87212276214834","93.84"
"43","50","24","216","99.87212276214834","93.84"
"44","50","36","216","99.87212276214834","93.84"
"45","50","48","216","99.87212276214834","93.84"
"46","100","4","216","7.636603028308102","60.760000000000005"
"47","100","12","216","7.636603028308102","60.760000000000005"
"48","100","24","216","7.636603028308102","60.760000000000005"
"49","100","36","216","7.636603028308102","60.760000000000005"
"50","100","48","216","7.636603028308102","60.760000000000005"
"51","1000","4","216","49.03640256959315","74.72"
"52","1000","12","216","49.03640256959315","74.72"
"53","1000","24","216","49.03640256959315","74.72"
"54","1000","36","216","49.03640256959315","74.72"
"55","1000","48","216","49.03640256959315","74.72"
