"BehaviorSpace results (NetLogo 3D 6.1.0)"
"CLL-update-fusionReversible-forSeedExperiment_test_deleting_some_parameters_as_theyre_probably_dependent.nlogo3d"
"NinaExploInAbsenceOfMonocytes"
"06/12/2020 19:19:58:608 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-72","72","-72","72"
"[run number]","gui-death_rate","[step]","getViability","getRemainingCellRatio"
"4","1.05","159","0","100"
"2","1.01","216","23.24000000000001","100"
"5","1.1","82","0","100"
"3","1.02","216","2.239999999999995","100"
"7","1.5","20","0","100"
"6","1.25","35","0","100"
"10","5","5","0","100"
"1","1","216","94","100"
"9","3","8","0","100"
"11","10","4","0","100"
"8","2","12","0","100"
