"BehaviorSpace results (NetLogo 3D 6.1.0)"
"CLL-update-fusionReversible-forSeedExperiment_test_deleting_some_parameters_as_theyre_probably_dependent.nlogo3d"
"NinaExploInAbsenceOfMonocytes"
"06/12/2020 19:30:29:484 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-72","72","-72","72"
"[run number]","gui-death_rate","[step]","getViability","getRemainingCellRatio"
"4","1.007","216","41.48","100"
"2","1.005","216","63.800000000000004","100"
"3","1.006","216","51.64","100"
"1","1","216","94","100"
"5","1.008","216","33.96000000000001","100"
"6","1.009","216","28","100"
"7","1.01","216","23.24000000000001","100"
"8","1.015","216","7.8799999999999955","100"
"9","1.02","216","2.239999999999995","100"
