BehaviorSpace results (NetLogo 3D 6.1.0);;;;;;
CLL-update-fusionReversible-forSeedExperiment_test_deleting_some_parameters_as_theyre_probably_dependent-cleaningUpTheCode.nlogo3d;;;;;;
NinaExploInAbsenceOfMonocytes;;;;;;
06/13/2020 14:27:10:941 +0200;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;
-72;72;-72;72;;;
[run number];gui-LateApoThreshold;gui-apoptosisDuration;gui-disintegrationDuration;[step];getViability;getRemainingCellRatio
20;24;96;96;216;8,395802099;26,68
16;24;72;96;216;9,475465313;23,64
19;24;96;72;216;9,475465313;23,64
12;24;48;96;216;10,91617934;20,52
15;24;72;72;216;10,91617934;20,52
8;24;36;96;216;11,66666667;19,2
18;24;96;36;216;11,66666667;19,2
40;36;96;96;216;12,01716738;18,64
4;24;24;96;216;12,81464531;17,48
11;24;48;72;216;12,81464531;17,48
17;24;96;24;216;12,81464531;17,48
36;36;72;96;216;13,36515513;16,76
39;36;96;72;216;13,36515513;16,76
7;24;36;72;216;13,69193154;16,36
14;24;72;36;216;13,69193154;16,36
3;24;24;72;216;15,05376344;14,88
13;24;72;24;216;15,05376344;14,88
32;36;48;96;216;15,05376344;14,88
35;36;72;72;216;15,05376344;14,88
28;36;36;96;216;16,13832853;13,88
38;36;96;36;216;16,13832853;13,88
10;24;48;36;216;16,61721068;13,48
24;36;24;96;216;17,07317073;13,12
31;36;48;72;216;17,07317073;13,12
37;36;96;24;216;17,07317073;13,12
6;24;36;36;216;18,06451613;12,4
9;24;48;24;216;18,06451613;12,4
27;36;36;72;216;18,06451613;12,4
34;36;72;36;216;18,06451613;12,4
23;36;24;72;216;19,71830986;11,36
33;36;72;24;216;19,71830986;11,36
60;72;96;96;216;19,71830986;11,36
2;24;24;36;216;20,97378277;10,68
5;24;36;24;216;20,97378277;10,68
30;36;48;36;216;22,48995984;9,96
56;72;72;96;216;22,48995984;9,96
59;72;96;72;216;22,48995984;9,96
1;24;24;24;216;25,22522523;8,88
26;36;36;36;216;25,22522523;8,88
29;36;48;24;216;25,22522523;8,88
52;72;48;96;216;25,22522523;8,88
55;72;72;72;216;25,22522523;8,88
80;96;96;96;216;25,22522523;8,88
48;72;36;96;216;27,18446602;8,24
58;72;96;36;216;27,18446602;8,24
76;96;72;96;216;28;8
79;96;96;72;216;28;8
22;36;24;36;216;28,42639594;7,88
25;36;36;24;216;28,42639594;7,88
44;72;24;96;216;28,42639594;7,88
51;72;48;72;216;28,42639594;7,88
57;72;96;24;216;28,42639594;7,88
47;72;36;72;216;31,81818182;7,04
54;72;72;36;216;31,81818182;7,04
72;96;48;96;216;31,81818182;7,04
75;96;72;72;216;31,81818182;7,04
68;96;36;96;216;33,13609467;6,76
78;96;96;36;216;33,13609467;6,76
21;36;24;24;216;33,93939394;6,6
43;72;24;72;216;33,93939394;6,6
53;72;72;24;216;33,93939394;6,6
64;96;24;96;216;35,22012579;6,36
71;96;48;72;216;35,22012579;6,36
77;96;96;24;216;35,22012579;6,36
50;72;48;36;216;37,33333333;6
67;96;36;72;216;37,83783784;5,92
74;96;72;36;216;37,83783784;5,92
46;72;36;36;216;42,10526316;5,32
49;72;48;24;216;42,10526316;5,32
63;96;24;72;216;42,10526316;5,32
73;96;72;24;216;42,10526316;5,32
70;96;48;36;216;45,16129032;4,96
42;72;24;36;216;47,05882353;4,76
45;72;36;24;216;47,05882353;4,76
66;96;36;36;216;50;4,48
69;96;48;24;216;50;4,48
41;72;24;24;216;52,3364486;4,28
62;96;24;36;216;54,90196078;4,08
65;96;36;24;216;54,90196078;4,08
61;96;24;24;216;58,94736842;3,8
