BehaviorSpace results (NetLogo 3D 6.1.0);;;;;;
CLL-update-fusionReversible-forSeedExperiment_test_deleting_some_parameters_as_theyre_probably_dependent-cleaningUpTheCode.nlogo3d;;;;;;
NinaExploInAbsenceOfMonocytes;;;;;;
06/13/2020 15:43:51:147 +0200;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;
-72;72;-72;72;;;
[run number];gui-LateApoThreshold;gui-apoptosisDuration;gui-disintegrationDuration;[step];getViability;getRemainingCellRatio
1;4;28;1;216;9,150326797;24,48
2;4;28;2;216;8,945686901;25,04
3;4;28;3;216;8,655332303;25,88
4;4;28;5;216;8,24742268;27,16
5;4;28;10;216;7,49665328;29,88
6;4;28;20;216;6,133625411;36,52
7;4;28;25;216;5,639476334;39,72
8;4;28;30;216;5,156537753;43,44
9;4;28;36;216;4,709840202;47,56
10;4;28;48;216;3,952011291;56,68
11;4;28;60;216;3,456790123;64,8
