BehaviorSpace results (NetLogo 3D 6.1.0);;;;;;;
CLL-update-fusionReversible-forSeedExperiment_test_deleting_some_parameters_as_theyre_probably_dependent-cleaningUpTheCode.nlogo3d;;;;;;;
NinaExploInAbsenceOfMonocytes;;;;;;;
06/13/2020 19:10:48:149 +0200;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;
-72;72;-72;72;;;;
[run number];gui-LateApoThreshold;gui-apoptosisDuration;gui-disintegrationDuration;gui-death_rate;[step];getViability;getRemainingCellRatio
2;1;12;10;1.005;216;63.8;100
1;1;12;10;1.005;216;63.8;100
9;1;12;20;1.005;216;63.8;100
10;1;12;20;1.005;216;63.8;100
17;1;12;30;1.005;216;63.8;100
18;1;12;30;1.005;216;63.8;100
25;1;12;50;1.005;216;63.8;100
26;1;12;50;1.005;216;63.8;100
33;1;24;10;1.005;216;63.8;100
34;1;24;10;1.005;216;63.8;100
41;1;24;20;1.005;216;63.8;100
42;1;24;20;1.005;216;63.8;100
50;1;24;30;1.005;216;63.8;100
49;1;24;30;1.005;216;63.8;100
57;1;24;50;1.005;216;63.8;100
58;1;24;50;1.005;216;63.8;100
65;1;36;10;1.005;216;63.8;100
66;1;36;10;1.005;216;63.8;100
73;1;36;20;1.005;216;63.8;100
74;1;36;20;1.005;216;63.8;100
81;1;36;30;1.005;216;63.8;100
82;1;36;30;1.005;216;63.8;100
89;1;36;50;1.005;216;63.8;100
90;1;36;50;1.005;216;63.8;100
97;1;48;10;1.005;216;63.8;100
98;1;48;10;1.005;216;63.8;100
105;1;48;20;1.005;216;63.8;100
106;1;48;20;1.005;216;63.8;100
114;1;48;30;1.005;216;63.8;100
113;1;48;30;1.005;216;63.8;100
121;1;48;50;1.005;216;63.8;100
122;1;48;50;1.005;216;63.8;100
129;2;12;10;1.005;216;63.8;100
130;2;12;10;1.005;216;63.8;100
137;2;12;20;1.005;216;63.8;100
138;2;12;20;1.005;216;63.8;100
145;2;12;30;1.005;216;63.8;100
146;2;12;30;1.005;216;63.8;100
153;2;12;50;1.005;216;63.8;100
154;2;12;50;1.005;216;63.8;100
161;2;24;10;1.005;216;63.8;100
162;2;24;10;1.005;216;63.8;100
170;2;24;20;1.005;216;63.8;100
169;2;24;20;1.005;216;63.8;100
177;2;24;30;1.005;216;63.8;100
178;2;24;30;1.005;216;63.8;100
185;2;24;50;1.005;216;63.8;100
186;2;24;50;1.005;216;63.8;100
193;2;36;10;1.005;216;63.8;100
194;2;36;10;1.005;216;63.8;100
201;2;36;20;1.005;216;63.8;100
202;2;36;20;1.005;216;63.8;100
209;2;36;30;1.005;216;63.8;100
210;2;36;30;1.005;216;63.8;100
217;2;36;50;1.005;216;63.8;100
218;2;36;50;1.005;216;63.8;100
225;2;48;10;1.005;216;63.8;100
226;2;48;10;1.005;216;63.8;100
233;2;48;20;1.005;216;63.8;100
234;2;48;20;1.005;216;63.8;100
241;2;48;30;1.005;216;63.8;100
242;2;48;30;1.005;216;63.8;100
249;2;48;50;1.005;216;63.8;100
250;2;48;50;1.005;216;63.8;100
258;3;12;10;1.005;216;63.8;100
257;3;12;10;1.005;216;63.8;100
265;3;12;20;1.005;216;63.8;100
266;3;12;20;1.005;216;63.8;100
273;3;12;30;1.005;216;63.8;100
274;3;12;30;1.005;216;63.8;100
281;3;12;50;1.005;216;63.8;100
282;3;12;50;1.005;216;63.8;100
289;3;24;10;1.005;216;63.8;100
290;3;24;10;1.005;216;63.8;100
297;3;24;20;1.005;216;63.8;100
298;3;24;20;1.005;216;63.8;100
305;3;24;30;1.005;216;63.8;100
306;3;24;30;1.005;216;63.8;100
313;3;24;50;1.005;216;63.8;100
314;3;24;50;1.005;216;63.8;100
321;3;36;10;1.005;216;63.8;100
322;3;36;10;1.005;216;63.8;100
329;3;36;20;1.005;216;63.8;100
330;3;36;20;1.005;216;63.8;100
337;3;36;30;1.005;216;63.8;100
338;3;36;30;1.005;216;63.8;100
345;3;36;50;1.005;216;63.8;100
346;3;36;50;1.005;216;63.8;100
353;3;48;10;1.005;216;63.8;100
354;3;48;10;1.005;216;63.8;100
361;3;48;20;1.005;216;63.8;100
362;3;48;20;1.005;216;63.8;100
369;3;48;30;1.005;216;63.8;100
370;3;48;30;1.005;216;63.8;100
377;3;48;50;1.005;216;63.8;100
378;3;48;50;1.005;216;63.8;100
385;4;12;10;1.005;216;63.8;100
386;4;12;10;1.005;216;63.8;100
393;4;12;20;1.005;216;63.8;100
394;4;12;20;1.005;216;63.8;100
401;4;12;30;1.005;216;63.8;100
402;4;12;30;1.005;216;63.8;100
409;4;12;50;1.005;216;63.8;100
410;4;12;50;1.005;216;63.8;100
418;4;24;10;1.005;216;63.8;100
417;4;24;10;1.005;216;63.8;100
425;4;24;20;1.005;216;63.8;100
426;4;24;20;1.005;216;63.8;100
433;4;24;30;1.005;216;63.8;100
434;4;24;30;1.005;216;63.8;100
441;4;24;50;1.005;216;63.8;100
442;4;24;50;1.005;216;63.8;100
449;4;36;10;1.005;216;63.8;100
450;4;36;10;1.005;216;63.8;100
457;4;36;20;1.005;216;63.8;100
458;4;36;20;1.005;216;63.8;100
465;4;36;30;1.005;216;63.8;100
466;4;36;30;1.005;216;63.8;100
473;4;36;50;1.005;216;63.8;100
474;4;36;50;1.005;216;63.8;100
481;4;48;10;1.005;216;63.8;100
482;4;48;10;1.005;216;63.8;100
490;4;48;20;1.005;216;63.8;100
489;4;48;20;1.005;216;63.8;100
497;4;48;30;1.005;216;63.8;100
498;4;48;30;1.005;216;63.8;100
505;4;48;50;1.005;216;63.8;100
506;4;48;50;1.005;216;63.8;100
513;5;12;10;1.005;216;63.8;100
514;5;12;10;1.005;216;63.8;100
521;5;12;20;1.005;216;63.8;100
522;5;12;20;1.005;216;63.8;100
529;5;12;30;1.005;216;63.8;100
530;5;12;30;1.005;216;63.8;100
537;5;12;50;1.005;216;63.8;100
538;5;12;50;1.005;216;63.8;100
545;5;24;10;1.005;216;63.8;100
546;5;24;10;1.005;216;63.8;100
553;5;24;20;1.005;216;63.8;100
554;5;24;20;1.005;216;63.8;100
561;5;24;30;1.005;216;63.8;100
562;5;24;30;1.005;216;63.8;100
569;5;24;50;1.005;216;63.8;100
570;5;24;50;1.005;216;63.8;100
577;5;36;10;1.005;216;63.8;100
578;5;36;10;1.005;216;63.8;100
585;5;36;20;1.005;216;63.8;100
586;5;36;20;1.005;216;63.8;100
593;5;36;30;1.005;216;63.8;100
594;5;36;30;1.005;216;63.8;100
601;5;36;50;1.005;216;63.8;100
602;5;36;50;1.005;216;63.8;100
609;5;48;10;1.005;216;63.8;100
610;5;48;10;1.005;216;63.8;100
617;5;48;20;1.005;216;63.8;100
618;5;48;20;1.005;216;63.8;100
625;5;48;30;1.005;216;63.8;100
626;5;48;30;1.005;216;63.8;100
634;5;48;50;1.005;216;63.8;100
633;5;48;50;1.005;216;63.8;100
641;10;12;10;1.005;216;63.8;100
642;10;12;10;1.005;216;63.8;100
649;10;12;20;1.005;216;63.8;100
650;10;12;20;1.005;216;63.8;100
657;10;12;30;1.005;216;63.8;100
658;10;12;30;1.005;216;63.8;100
665;10;12;50;1.005;216;63.8;100
666;10;12;50;1.005;216;63.8;100
673;10;24;10;1.005;216;63.8;100
674;10;24;10;1.005;216;63.8;100
681;10;24;20;1.005;216;63.8;100
682;10;24;20;1.005;216;63.8;100
689;10;24;30;1.005;216;63.8;100
690;10;24;30;1.005;216;63.8;100
697;10;24;50;1.005;216;63.8;100
698;10;24;50;1.005;216;63.8;100
706;10;36;10;1.005;216;63.8;100
705;10;36;10;1.005;216;63.8;100
713;10;36;20;1.005;216;63.8;100
714;10;36;20;1.005;216;63.8;100
721;10;36;30;1.005;216;63.8;100
722;10;36;30;1.005;216;63.8;100
729;10;36;50;1.005;216;63.8;100
730;10;36;50;1.005;216;63.8;100
737;10;48;10;1.005;216;63.8;100
738;10;48;10;1.005;216;63.8;100
746;10;48;20;1.005;216;63.8;100
745;10;48;20;1.005;216;63.8;100
753;10;48;30;1.005;216;63.8;100
754;10;48;30;1.005;216;63.8;100
761;10;48;50;1.005;216;63.8;100
762;10;48;50;1.005;216;63.8;100
770;20;12;10;1.005;216;63.8;100
769;20;12;10;1.005;216;63.8;100
777;20;12;20;1.005;216;63.8;100
778;20;12;20;1.005;216;63.8;100
