"BehaviorSpace results (NetLogo 3D 6.1.0)"
"MacrophageDifferentiationModel.nlogo3d"
"NinaExploInAbsenceOfMonocytes"
"06/30/2020 06:07:18:711 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-72","72","-72","72"
"[run number]","gui-LateApoThreshold","gui-apoptosisDuration","gui-disintegrationDuration","gui-death_rate","alpha","[step]","getViability","getRemainingCellRatio"
"1","48","24","10000","1.007","0","216","99.70111016225448","93.67999999999999"
"2","48","24","10000","1.007","0.2","216","99.70111016225448","93.67999999999999"
"3","48","24","10000","1.007","0.4","216","99.70111016225448","93.67999999999999"
"4","48","24","10000","1.007","0.6","216","99.70111016225448","93.67999999999999"
"5","48","24","10000","1.007","0.8","216","99.70111016225448","93.67999999999999"
"6","48","24","10000","1.007","1","216","99.70111016225448","93.67999999999999"
"7","48","24","10000","1.007","1.2","216","99.70111016225448","93.67999999999999"
"8","48","24","10000","1.007","1.4","216","99.70111016225448","93.67999999999999"
"9","48","24","10000","1.007","1.6","216","99.70111016225448","93.67999999999999"
"10","48","24","10000","1.007","1.8","216","99.70111016225448","93.67999999999999"
"11","48","24","10000","1.007","2","216","99.70111016225448","93.67999999999999"
"12","48","24","10000","1.01","0","216","99.49587534372135","87.28"
"13","48","24","10000","1.01","0.2","216","99.49587534372135","87.28"
"14","48","24","10000","1.01","0.4","216","99.49587534372135","87.28"
"15","48","24","10000","1.01","0.6","216","99.49587534372135","87.28"
"16","48","24","10000","1.01","0.8","216","99.49587534372135","87.28"
"17","48","24","10000","1.01","1","216","99.49587534372135","87.28"
"18","48","24","10000","1.01","1.2","216","99.49587534372135","87.28"
"19","48","24","10000","1.01","1.4","216","99.49587534372135","87.28"
"20","48","24","10000","1.01","1.6","216","99.49587534372135","87.28"
"21","48","24","10000","1.01","1.8","216","99.49587534372135","87.28"
"23","48","24","10000","1.02","0","216","95.9954233409611","34.96"
"22","48","24","10000","1.01","2","216","99.49587534372135","87.28"
"24","48","24","10000","1.02","0.2","216","95.9954233409611","34.96"
"25","48","24","10000","1.02","0.4","216","95.9954233409611","34.96"
"26","48","24","10000","1.02","0.6","216","95.9954233409611","34.96"
"27","48","24","10000","1.02","0.8","216","95.9954233409611","34.96"
"28","48","24","10000","1.02","1","216","95.9954233409611","34.96"
"29","48","24","10000","1.02","1.2","216","95.9954233409611","34.96"
"30","48","24","10000","1.02","1.4","216","95.9954233409611","34.96"
"31","48","24","10000","1.02","1.6","216","95.9954233409611","34.96"
