"BehaviorSpace results (NetLogo 3D 6.1.0)"
"MacrophageDifferentiationModel.nlogo3d"
"NinaExploInAbsenceOfMonocytes"
"07/23/2020 13:58:51:885 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-72","72","-72","72"
"[run number]","gui-death_rate","[step]","getViability","getRemainingCellRatio","getSeed"
"1","1.001","0","94","100","40"
"2","1.001","0","94","100","38"
"3","1.001","0","94","100","90"
"4","1.001","0","94","100","140"
"3","1.001","1","94","100","90"
"4","1.001","1","94","100","140"
"1","1.001","1","94","100","40"
"2","1.001","1","94","100","38"
"4","1.001","2","94","100","140"
"3","1.001","2","94","100","90"
"2","1.001","2","94","100","38"
"1","1.001","2","94","100","40"
"4","1.001","3","94","100","140"
"3","1.001","3","94","100","90"
"2","1.001","3","94","100","38"
"1","1.001","3","94","100","40"
"4","1.001","4","94","100","140"
"3","1.001","4","94","100","90"
"1","1.001","4","94","100","40"
"2","1.001","4","94","100","38"
"4","1.001","5","94","100","140"
"3","1.001","5","94","100","90"
"1","1.001","5","94","100","40"
"2","1.001","5","94","100","38"
"4","1.001","6","94","100","140"
"3","1.001","6","94","100","90"
"1","1.001","6","94","100","40"
"2","1.001","6","94","100","38"
"3","1.001","7","94","100","90"
"4","1.001","7","94","100","140"
"1","1.001","7","94","100","40"
"2","1.001","7","94","100","38"
"3","1.001","8","94","100","90"
"4","1.001","8","94","100","140"
"1","1.001","8","94","100","40"
"2","1.001","8","94","100","38"
"3","1.001","9","94","100","90"
"1","1.001","9","94","100","40"
"4","1.001","9","94","100","140"
"2","1.001","9","94","100","38"
"3","1.001","10","94","100","90"
"1","1.001","10","94","100","40"
"2","1.001","10","94","100","38"
"4","1.001","10","94","100","140"
"3","1.001","11","94","100","90"
"1","1.001","11","94","100","40"
"2","1.001","11","94","100","38"
"4","1.001","11","94","100","140"
"3","1.001","12","94","100","90"
"1","1.001","12","94","100","40"
"2","1.001","12","94","100","38"
"4","1.001","12","94","100","140"
"3","1.001","13","94","100","90"
"1","1.001","13","94","100","40"
"2","1.001","13","94","100","38"
"4","1.001","13","94","100","140"
"3","1.001","14","94","100","90"
"1","1.001","14","94","100","40"
"2","1.001","14","94","100","38"
"4","1.001","14","94","100","140"
"3","1.001","15","94","100","90"
"1","1.001","15","94","100","40"
"2","1.001","15","94","100","38"
"4","1.001","15","94","100","140"
"3","1.001","16","94","100","90"
"1","1.001","16","94","100","40"
"4","1.001","16","94","100","140"
"2","1.001","16","94","100","38"
"3","1.001","17","94","100","90"
"1","1.001","17","94","100","40"
"2","1.001","17","94","100","38"
"4","1.001","17","94","100","140"
"1","1.001","18","94","100","40"
"3","1.001","18","94","100","90"
"2","1.001","18","94","100","38"
"4","1.001","18","94","100","140"
"3","1.001","19","94","100","90"
"1","1.001","19","94","100","40"
"2","1.001","19","94","100","38"
"4","1.001","19","94","100","140"
"3","1.001","20","94","100","90"
"1","1.001","20","94","100","40"
"2","1.001","20","94","100","38"
"4","1.001","20","94","100","140"
"3","1.001","21","94","100","90"
"1","1.001","21","94","100","40"
"2","1.001","21","94","100","38"
"3","1.001","22","94","100","90"
"1","1.001","22","94","100","40"
"4","1.001","21","94","100","140"
"2","1.001","22","94","100","38"
"3","1.001","23","94","100","90"
"1","1.001","23","94","100","40"
"4","1.001","22","94","100","140"
"2","1.001","23","94","100","38"
"3","1.001","24","94","100","90"
"1","1.001","24","94","100","40"
"4","1.001","23","94","100","140"
"2","1.001","24","94","100","38"
"3","1.001","25","94","100","90"
"1","1.001","25","94","100","40"
"4","1.001","24","94","100","140"
"2","1.001","25","94","100","38"
"3","1.001","26","94","100","90"
"1","1.001","26","94","100","40"
"4","1.001","25","94","100","140"
"2","1.001","26","94","100","38"
"3","1.001","27","94","100","90"
"1","1.001","27","94","100","40"
"4","1.001","26","94","100","140"
"2","1.001","27","94","100","38"
"1","1.001","28","94","100","40"
"3","1.001","28","94","100","90"
"4","1.001","27","94","100","140"
"2","1.001","28","94","100","38"
"1","1.001","29","94","100","40"
"3","1.001","29","94","100","90"
"4","1.001","28","94","100","140"
"2","1.001","29","94","100","38"
"1","1.001","30","94","100","40"
"3","1.001","30","94","100","90"
"4","1.001","29","94","100","140"
"2","1.001","30","94","100","38"
"1","1.001","31","94","100","40"
"3","1.001","31","94","100","90"
"4","1.001","30","94","100","140"
"2","1.001","31","94","100","38"
"1","1.001","32","94","100","40"
"3","1.001","32","94","100","90"
"4","1.001","31","94","100","140"
"2","1.001","32","94","100","38"
"1","1.001","33","94","100","40"
"3","1.001","33","94","100","90"
"2","1.001","33","94","100","38"
"4","1.001","32","94","100","140"
"1","1.001","34","94","100","40"
