"BehaviorSpace results (NetLogo 3D 6.1.0)"
"MacrophageDifferentiationModel.nlogo3d"
"NinaExploInAbsenceOfMonocytes"
"07/23/2020 16:41:30:551 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-72","72","-72","72"
"[run number]","gui-death_rate","gui-lateApoThreshold","[step]","getViability","getRemainingCellRatio","getSeed"
"4","1.001","48","216","94","100","76"
"3","1.001","36","216","94","100","87"
"2","1.001","36","216","94","100","42"
"1","1.001","36","216","94","100","3"
"5","1.001","48","216","94","100","25"
"6","1.001","48","216","94","100","210"
"7","1.001","72","216","94","100","203"
"8","1.001","72","216","94","100","320"
"9","1.001","72","216","94","100","126"
"10","1.001","96","216","94","100","290"
"11","1.001","96","216","94","100","209"
"12","1.001","96","216","94","100","96"
"13","1.001","120","216","94","100","52"
"14","1.001","120","216","94","100","56"
"15","1.001","120","216","94","100","270"
"16","1.007","36","216","42.91497975708503","98.8","320"
"17","1.007","36","216","41.870734644721","99.64","170"
"20","1.007","48","216","46.56523743660673","86.76","240"
"18","1.007","36","216","41.89786891837556","99.48","684"
"19","1.007","48","216","49.50354609929079","84.6","494"
"21","1.007","48","216","48.73713751169318","85.52","819"
"22","1.007","72","216","55.157437567861024","73.68","396"
"23","1.007","72","216","56.05555555555555","72","0"
"24","1.007","72","216","56.239600665557404","72.11999999999999","600"
"25","1.007","96","216","63.56495468277946","66.2","975"
"26","1.007","96","216","64.48152562574494","67.12","806"
"28","1.007","120","216","64.8854961832061","62.88","476"
"27","1.007","96","216","61.14050558495003","68.04","1080"
"29","1.007","120","216","65.3598971722365","62.239999999999995","1073"
"30","1.007","120","216","65.26520051746442","61.839999999999996","0"
"31","1.01","36","216","42.22704266088214","55.32","806"
"32","1.01","36","216","40.932642487046635","54.04","416"
"33","1.01","36","216","41.36363636363637","52.800000000000004","990"
"34","1.01","48","216","44.83627204030227","47.64","1292"
"36","1.01","48","216","45.7166392092257","48.559999999999995","828"
"35","1.01","48","216","44.247038917089675","47.28","875"
"37","1.01","72","216","55.40796963946869","42.16","814"
"38","1.01","72","216","51.74035747883349","42.52","38"
"40","1.01","96","216","57.97872340425532","37.6","1640"
"39","1.01","72","216","52.86129970902037","41.24","1014"
"41","1.01","96","216","55.62632696390658","37.68","369"
"42","1.01","96","216","56.177402323125655","37.88","84"
"43","1.01","120","216","60.2577873254565","37.24","989"
"44","1.01","120","216","58.25136612021858","36.6","528"
"45","1.01","120","216","58.50111856823266","35.76","1395"
"46","1.015","36","216","40.461215932914044","19.08","828"
"47","1.015","36","216","40.17660044150111","18.12","1363"
"48","1.015","36","216","40.674157303370784","17.8","1968"
"49","1.015","48","216","48.23848238482385","14.760000000000002","735"
"50","1.015","48","216","44.34180138568129","17.32","1750"
"51","1.015","48","216","45.41176470588235","17","102"
"52","1.015","72","216","53.735632183908045","13.919999999999998","1872"
"53","1.015","72","216","50.80213903743315","14.96","689"
"54","1.015","72","216","50.40871934604905","14.680000000000001","1782"
"55","1.015","96","216","49.59568733153639","14.84","1045"
"56","1.015","96","216","55.873925501432666","13.96","1456"
"57","1.015","96","216","51.174934725848566","15.32","2337"
"58","1.015","120","216","53.134328358208954","13.4","696"
"60","1.015","120","216","52.737752161383284","13.88","1080"
"59","1.015","120","216","57.86350148367953","13.48","177"
"61","1.02","36","216","39.50617283950617","6.4799999999999995","1952"
"62","1.02","36","216","37.77777777777778","7.199999999999999","806"
"63","1.02","36","216","44.76744186046512","6.88","567"
"64","1.02","48","216","50","5.2","704"
"65","1.02","48","216","41.42857142857142","5.6000000000000005","1885"
"66","1.02","48","216","42.94871794871795","6.239999999999999","1914"
"67","1.02","72","216","52.67175572519084","5.24","335"
"68","1.02","72","216","50.36496350364963","5.48","1768"
"69","1.02","72","216","56.77966101694915","4.72","2001"
"70","1.02","96","216","57.03125","5.12","1400"
"73","1.02","120","216","52.77777777777778","4.32","1387"
"71","1.02","96","216","48.18181818181818","4.3999999999999995","1775"
"72","1.02","96","216","50.806451612903224","4.96","72"
"74","1.02","120","216","42.10526315789473","5.319999999999999","1776"
"75","1.02","120","216","52","5","3000"
