"BehaviorSpace results (NetLogo 3D 6.1.0)"
"ABM_Probabilistic.nlogo3d"
"NinaExploInAbsenceOfMonocytes"
"07/27/2020 17:28:27:477 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-72","72","-72","72"
"[run number]","gui-DeathThreshold","gui-BlockedApoptosisThreshold","gui-disintegrationDuration","[step]","getViability","getRemainingCellRatio","getSeed"
"2","-1000","600","96","216","27.959999999999994","100","0"
"3","-1000","600","120","216","27.959999999999994","100","0"
"1","-1000","600","72","216","27.959999999999994","100","0"
"4","-1000","800","72","216","44.879999999999995","100","0"
"7","-1000","1000","72","216","54.52","100","0"
"5","-1000","800","96","216","44.879999999999995","100","0"
"6","-1000","800","120","216","44.879999999999995","100","0"
"8","-1000","1000","96","216","54.52","100","0"
"9","-1000","1000","120","216","54.52","100","0"
"10","-500","600","72","216","27.959999999999994","100","0"
"11","-500","600","96","216","27.959999999999994","100","0"
"12","-500","600","120","216","27.959999999999994","100","0"
"13","-500","800","72","216","44.879999999999995","100","0"
"14","-500","800","96","216","44.879999999999995","100","0"
"15","-500","800","120","216","44.879999999999995","100","0"
"16","-500","1000","72","216","54.52","100","0"
"17","-500","1000","96","216","54.52","100","0"
"18","-500","1000","120","216","54.52","100","0"
"19","-200","600","72","216","29.369747899159663","95.19999999999999","0"
"20","-200","600","96","216","29.112869637650974","96.04","0"
"21","-200","600","120","216","28.908188585607945","96.72","0"
"22","-200","800","72","216","47.14285714285714","95.19999999999999","0"
"23","-200","800","96","216","46.730528946272386","96.04","0"
"24","-200","800","120","216","46.40198511166253","96.72","0"
"25","-200","1000","72","216","57.26890756302521","95.19999999999999","0"
"26","-200","1000","96","216","56.76801332778009","96.04","0"
"27","-200","1000","120","216","56.36889991728701","96.72","0"
"28","-100","600","72","216","39.94285714285715","70","0"
"29","-100","600","96","216","37.78378378378379","74","0"
"30","-100","600","120","216","36.311688311688314","77","0"
"31","-100","800","72","216","59.08372827804108","75.96000000000001","0"
"32","-100","800","96","216","57.274119448698315","78.36","0"
"33","-100","800","120","216","55.407407407407405","81","0"
"34","-100","1000","72","216","68.73424104891578","79.32000000000001","0"
"35","-100","1000","96","216","67.0767716535433","81.28","0"
"36","-100","1000","120","216","65.1529636711281","83.67999999999999","0"
"37","-50","600","72","216","51.17130307467057","54.64","0"
"38","-50","600","96","216","47.94238683127572","58.32000000000001","0"
"39","-50","600","120","216","45.0096587250483","62.12","0"
"40","-50","800","72","216","69.08866995073892","64.96","0"
"41","-50","800","96","216","66.46919431279622","67.52","0"
"42","-50","800","120","216","63.93162393162393","70.19999999999999","0"
"43","-50","1000","72","216","77.57541263517359","70.28","0"
"44","-50","1000","96","216","74.68493150684932","73","0"
"45","-50","1000","120","216","73.04394426580922","74.64","0"
