BehaviorSpace results (NetLogo 3D 6.1.0);;;;;;;;
ABM_Probabilistic.nlogo3d;;;;;;;;
NinaExploInPresenceOfMonocytes;;;;;;;;
07/30/2020 21:08:25:535 +0200;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
-72;72;-72;72;;;;;
[run number];gui-BlockedApoptosisThreshold;gui-alpha;gui-NLCThreshold;diffusion-rate;[step];getViability;getRemainingCellRatio;getSeed
13;100;50;1500;1;312;64,11657559;21,96;0
5;100;10;1500;5;312;64,72795497;21,32;0
4;100;10;1500;1;312;65,89147287;20,64;0
22;100;100;1500;1;312;65,93001842;21,72;0
23;100;100;1500;5;312;66,17375231;21,64;0
24;100;100;1500;10;312;66,73151751;20,56;0
14;100;50;1500;5;312;67,40740741;21,6;0
6;100;10;1500;10;312;69,38369781;20,12;0
15;100;50;1500;10;312;70,47244094;20,32;0
27;100;100;2000;10;312;74,27983539;19,44;0
3;100;10;1000;10;312;76,04395604;18,2;0
30;500;10;1000;10;312;76,58431794;37,24;0
57;1000;10;1000;10;312;76,58431794;37,24;0
11;100;50;1000;5;312;76,62921348;17,8;0
19;100;100;1000;1;312;76,93965517;18,56;0
25;100;100;2000;1;312;77,17171717;19,8;0
20;100;100;1000;5;312;77,38359202;18,04;0
8;100;10;2000;5;312;77,39130435;18,4;0
16;100;50;2000;1;312;77,93522267;19,76;0
7;100;10;2000;1;312;78,17371938;17,96;0
12;100;50;1000;10;312;78,68131868;18,2;0
18;100;50;2000;10;312;78,74186551;18,44;0
9;100;10;2000;10;312;79,45823928;17,72;0
1;100;10;1000;1;312;79,47019868;18,12;0
2;100;10;1000;5;312;80,76923077;17,68;0
17;100;50;2000;5;312;81,29032258;18,6;0
10;100;50;1000;1;312;81,35198135;17,16;0
29;500;10;1000;5;312;83,12985572;36,04;0
56;1000;10;1000;5;312;83,12985572;36,04;0
21;100;100;1000;10;312;83,25791855;17,68;0
55;1000;10;1000;1;312;83,33333333;37,44;0
28;500;10;1000;1;312;83,76344086;37,2;0
36;500;10;2000;10;312;85,23206751;28,44;0
63;1000;10;2000;10;312;85,23206751;28,44;0
26;100;100;2000;5;312;85,9030837;18,16;0
58;1000;10;1500;1;312;87,92270531;33,12;0
66;1000;50;1000;10;312;87,97653959;40,92;0
81;1000;100;2000;10;312;88,93387314;29,64;0
47;500;100;1000;5;312;90,25380711;39,4;0
31;500;10;1500;1;312;90,74074074;32,4;0
45;500;50;2000;10;312;90,97222222;28,8;0
54;500;100;2000;10;312;91,05263158;30,4;0
38;500;50;1000;5;312;91,2371134;38,8;0
64;1000;50;1000;1;312;91,3957935;41,84;0
65;1000;50;1000;5;312;91,66666667;38,88;0
75;1000;100;1000;10;312;91,98813056;40,44;0
46;500;100;1000;1;312;92,09257473;41,48;0
48;500;100;1000;10;312;92,14064116;38,68;0
32;500;10;1500;5;312;92,48021108;30,32;0
59;1000;10;1500;5;312;92,48021108;30,32;0
72;1000;50;2000;10;312;92,4822695;28,2;0
39;500;50;1000;10;312;93,18885449;38,76;0
37;500;50;1000;1;312;93,25396825;40,32;0
33;500;10;1500;10;312;93,314367;28,12;0
60;1000;10;1500;10;312;93,314367;28,12;0
35;500;10;2000;5;312;93,62318841;27,6;0
62;1000;10;2000;5;312;93,62318841;27,6;0
74;1000;100;1000;5;312;93,70558376;39,4;0
42;500;50;1500;10;312;93,85964912;31,92;0
68;1000;50;1500;5;312;94,54976303;33,76;0
41;500;50;1500;5;312;95,22102748;33,48;0
40;500;50;1500;1;312;95,25350593;37,08;0
73;1000;100;1000;1;312;95,35545024;42,2;0
77;1000;100;1500;5;312;95,36723164;35,4;0
80;1000;100;2000;5;312;95,37275064;31,12;0
67;1000;50;1500;1;312;95,50321199;37,36;0
76;1000;100;1500;1;312;95,90958019;37,16;0
49;500;100;1500;1;312;96,12403101;36,12;0
50;500;100;1500;5;312;96,15819209;35,4;0
78;1000;100;1500;10;312;96,22411693;32,84;0
69;1000;50;1500;10;312;96,2628866;31,04;0
71;1000;50;2000;5;312;96,31147541;29,28;0
34;500;10;2000;1;312;96,36363636;26,4;0
61;1000;10;2000;1;312;96,36363636;26,4;0
43;500;50;2000;1;312;96,40479361;30,04;0
70;1000;50;2000;1;312;97,05093834;29,84;0
53;500;100;2000;5;312;97,35099338;30,2;0
52;500;100;2000;1;312;97,36842105;30,4;0
44;500;50;2000;5;312;97,42547425;29,52;0
51;500;100;1500;10;312;97,48110831;31,76;0
79;1000;100;2000;1;312;97,98387097;29,76;0
