BehaviorSpace results (NetLogo 3D 6.1.0);;;;;;;;;;
ABM_Probabilistic.nlogo3d;;;;;;;;;;
NinaExploInPresenceOfMonocytes;;;;;;;;;;
07/31/2020 09:10:16:892 +0200;;;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;;;
-72;72;-72;72;;;;;;;
[run number];gui-BlockedApoptosisThreshold;gui-alpha;gui-NLCThreshold;diffusion-rate;[step];getViability;getRemainingCellRatio;getSeed;getNumberNLC;getNUmberMono
36;1000;50;1500;50;312;94,93670886;22,12;1512;32;18
17;1000;10;1500;50;312;92,88135593;23,6;714;29;21
54;1000;100;1500;50;312;92,00680272;23,52;2268;33;17
34;1000;50;1500;50;312;91,91919192;23,76;1428;23;27
16;1000;10;1500;50;312;91,15323855;25,32;672;33;17
11;1000;10;1500;1;312;90,8045977;24,36;462;37;13
18;1000;10;1500;50;312;89,34169279;25,52;756;35;15
14;1000;10;1500;10;312;89,13043478;25,76;588;37;13
12;1000;10;1500;1;312;88,92405063;25,28;504;41;9
15;1000;10;1500;10;312;88,87195122;26,24;630;34;16
13;1000;10;1500;10;312;88,62559242;25,32;546;31;19
53;1000;100;1500;50;312;87,45928339;24,56;2226;36;14
51;1000;100;1500;10;312;85,77844311;26,72;2142;40;10
52;1000;100;1500;50;312;84,10104012;26,92;2184;33;17
31;1000;50;1500;10;312;83,63892807;28,36;1302;44;6
50;1000;100;1500;10;312;82,57686676;27,32;2100;45;5
35;1000;50;1500;50;312;81,63841808;28,32;1470;34;16
10;1000;10;1500;1;312;80,88829071;29,72;420;46;4
30;1000;50;1500;1;312;80,1459854;27,4;1260;37;13
32;1000;50;1500;10;312;79,5264624;28,72;1344;48;2
47;1000;100;1500;1;312;78,84344147;28,36;1974;44;6
27;1000;50;1000;50;312;78,7661406;27,88;1134;46;4
33;1000;50;1500;10;312;78,66666667;27;1386;45;5
26;1000;50;1000;50;312;78,65168539;28,48;1092;35;15
7;1000;10;1000;50;312;78,30319889;28,76;294;49;1
48;1000;100;1500;1;312;77,38419619;29,36;2016;47;3
45;1000;100;1000;50;312;77,27272727;30,8;1890;45;5
28;1000;50;1500;1;312;76,95530726;28,64;1176;49;1
25;1000;50;1000;50;312;76,91275168;29,8;1050;47;3
49;1000;100;1500;10;312;75,03628447;27,56;2058;48;2
29;1000;50;1500;1;312;74,50199203;30,12;1218;48;2
42;1000;100;1000;10;312;72,95918367;31,36;1764;48;2
43;1000;100;1000;50;312;71,59235669;31,4;1806;48;2
23;1000;50;1000;10;312;71,42857143;30,24;966;47;3
46;1000;100;1500;1;312;67,67189385;33,16;1932;50;0
3;1000;10;1000;1;312;66,23981374;34,36;126;49;1
38;1000;100;1000;1;312;66,00698487;34,36;1596;49;1
8;1000;10;1000;50;312;65,77992745;33,08;336;49;1
9;1000;10;1000;50;312;65,24663677;35,68;378;49;1
6;1000;10;1000;10;312;63,43457944;34,24;252;49;1
44;1000;100;1000;50;312;62,70983213;33,36;1848;50;0
2;1000;10;1000;1;312;62,59378349;37,32;84;50;0
4;1000;10;1000;10;312;60,95041322;38,72;168;50;0
5;1000;10;1000;10;312;60,80084299;37,96;210;50;0
1;1000;10;1000;1;312;60,34297964;37,32;42;50;0
41;1000;100;1000;10;312;60,32258065;37,2;1722;50;0
40;1000;100;1000;10;312;59,11485774;37,96;1680;50;0
37;1000;100;1000;1;312;58,84691849;40,24;1554;50;0
22;1000;50;1000;10;312;58,74485597;38,88;924;50;0
20;1000;50;1000;1;312;58,47893114;38,92;840;50;0
39;1000;100;1000;1;312;57,40932642;38,6;1638;50;0
21;1000;50;1000;1;312;56,23036649;38,2;882;50;0
24;1000;50;1000;10;312;54,94276795;38,44;1008;50;0
19;1000;50;1000;1;312;54,87684729;40,6;798;50;0
